Responden;Jenis;Kualitas Layanan;Hubungan dengan OJK;Kualitas SDM;Saran;Text;Label;Confidence
Responden 1;Asosiasi;OJK memiliki layanan syariah yang mana semua produk syariah didukung oleh OJK dalam bentuk usaha untuk meningkatkan pangsa pasar bank syariah. yang perlu diperbaiki adalah harapan untuk proses perizinan produk baru agar bisa mempersingkat gap dan OJK dengan sigap menerima masukan ini. selama ini proses bagus. Bahkan OJK Asosiasi sudah banyak dilibatkan dalam kegiatan-kegiatan di OJK. Hambatan adalah karena seringnya diseminasi yang dilakukan OJK;Hubungan yang ada mampu menjadi dorongan penting bagi industri fintech. Percepatan hasil sandbox;SDM di OJK sudah kompeten dan memiliki kemampuan komunikasi serta responsivitas yang baik;ke depan perlu adanya kelonggaran dalam regulasi terkait investasi fintech, salah satunya adalah insentif untuk investor. Asosiasi juga berharap agar asosiasi lebih banyak lagi dilibatkan dalam pembuatan kebijakan dan lebih diaktifkan lagi forum komunikasi dalam membahas hal-hal terkait jasa keuangan.ke depan perlu adanya kelonggaran dalam regulasi terkait investasi fintech, salah satunya adalah insentif untuk investor;OJK memiliki layanan syariah yang mana semua produk syariah didukung oleh OJK dalam bentuk usaha untuk meningkatkan pangsa pasar bank syariah. yang perlu diperbaiki adalah harapan untuk proses perizinan produk baru agar bisa mempersingkat gap dan OJK dengan sigap menerima masukan ini. selama ini proses bagus. Bahkan OJK Asosiasi sudah banyak dilibatkan dalam kegiatan-kegiatan di OJK. Hambatan adalah karena seringnya diseminasi yang dilakukan OJK Hubungan yang ada mampu menjadi dorongan penting bagi industri fintech. Percepatan hasil sandbox SDM di OJK sudah kompeten dan memiliki kemampuan komunikasi serta responsivitas yang baik ke depan perlu adanya kelonggaran dalam regulasi terkait investasi fintech, salah satunya adalah insentif untuk investor. Asosiasi juga berharap agar asosiasi lebih banyak lagi dilibatkan dalam pembuatan kebijakan dan lebih diaktifkan lagi forum komunikasi dalam membahas hal-hal terkait jasa keuangan.ke depan perlu adanya kelonggaran dalam regulasi terkait investasi fintech, salah satunya adalah insentif untuk investor;cukup setuju;0.22600829601287842
Responden 2;Asosiasi;asosiasi sangat puas atas layanan dan dukungan yang telah diberikan oleh OJK untuk industri fintech dan melihat otoritas sudah sangat terbuka untuk melakukan sinergi dan kolaborasi untuk kemajuan fintech. asosiasi telah dilibatkan dalam pembuatan pOJK dalam proses diskusi.Penerbitan regulasi dan roadmap di ITSK sudah sangat cepat. masukan dari asosiasi sudah diakomodasi oleh OJK. koordinasi sudah sangat baik. ;Setelah pendirian ITSK proses pendirian perusahaan fintech menjadi lebih cepat. asosiasi optimis bahwa layanan OJK akan tetap bisa mengawasi dan mengatur namun tetap memberikan ruang inovasi bagi pelaku fintech di indonesia. sistem digitalisasi OJK mendukung berbagai proses;Kompetensi pegawai OJK sudah sangat bagus dan merata;Saran kami agar OJK dapat membentuk semacam taskforce yang berisi OJK dan industri untuk mengatasi gap waktu perizinan. gap waktu antara perizinan produk baru dan kebutuhan pasar sangat penting. Selain itu, peningkatan mutu jasa keuangan. Selama ini asosiasi merasa keberatan secara finansial karena waktu pelaksanaan yang tidak bersamaan. Scheduling agenda dari bidang OJK yang berbeda bisa diperbaiki karena asosiasi berada di bawah berbagai bidang OJK yang berbeda. Selain itu, perbaikan dalam hal koordinasi antar bidang OJK sehingga undangan dapat disampaikan satu minggu sebelum acara. Masukan lainnya adalah perlu adanya sebuah jembatan ke LJK lain supaya model bisnis yang baru dapat dioptimalkan;asosiasi sangat puas atas layanan dan dukungan yang telah diberikan oleh OJK untuk industri fintech dan melihat otoritas sudah sangat terbuka untuk melakukan sinergi dan kolaborasi untuk kemajuan fintech. asosiasi telah dilibatkan dalam pembuatan pOJK dalam proses diskusi.Penerbitan regulasi dan roadmap di ITSK sudah sangat cepat. masukan dari asosiasi sudah diakomodasi oleh OJK. koordinasi sudah sangat baik.  Setelah pendirian ITSK proses pendirian perusahaan fintech menjadi lebih cepat. asosiasi optimis bahwa layanan OJK akan tetap bisa mengawasi dan mengatur namun tetap memberikan ruang inovasi bagi pelaku fintech di indonesia. sistem digitalisasi OJK mendukung berbagai proses Kompetensi pegawai OJK sudah sangat bagus dan merata Saran kami agar OJK dapat membentuk semacam taskforce yang berisi OJK dan industri untuk mengatasi gap waktu perizinan. gap waktu antara perizinan produk baru dan kebutuhan pasar sangat penting. Selain itu, peningkatan mutu jasa keuangan. Selama ini asosiasi merasa keberatan secara finansial karena waktu pelaksanaan yang tidak bersamaan. Scheduling agenda dari bidang OJK yang berbeda bisa diperbaiki karena asosiasi berada di bawah berbagai bidang OJK yang berbeda. Selain itu, perbaikan dalam hal koordinasi antar bidang OJK sehingga undangan dapat disampaikan satu minggu sebelum acara. Masukan lainnya adalah perlu adanya sebuah jembatan ke LJK lain supaya model bisnis yang baru dapat dioptimalkan;cukup setuju;0.23758015036582947
Responden 3;Asosiasi;Meski perlu ada peningkatan koordinasi dan komunikasi antar departemen di OJK, layanan yang saat ini dilakukan sudah baik. ;SPRINT sudah mumpuni dan memberikan pelayanan yang optimal untuk para pelaku sektor jasa keuangan yang baru. selain itu program-program dorongan dari otoritas terkait;OJK sudah canggih dengan SDM yang sudah baik;OJK dapat membentuk regulasi untuk membantu supaya ITSK dapat diimplementasikan ke LJK lain. Selain itu, diperlukan komunikasi antar pengawas (OJK) untuk memperkenalkan produk baru di ITSK untuk meminimalisir adanya gap regulasi.Selain itu, setiap lembaga yang memiliki program masing-masing memerlukan sinergi dan kolaborasi yang konkrit antar lembaga negara. Simplifikasi laporan yang perlu disampaikan.;Meski perlu ada peningkatan koordinasi dan komunikasi antar departemen di OJK, layanan yang saat ini dilakukan sudah baik.  SPRINT sudah mumpuni dan memberikan pelayanan yang optimal untuk para pelaku sektor jasa keuangan yang baru. selain itu program-program dorongan dari otoritas terkait OJK sudah canggih dengan SDM yang sudah baik OJK dapat membentuk regulasi untuk membantu supaya ITSK dapat diimplementasikan ke LJK lain. Selain itu, diperlukan komunikasi antar pengawas (OJK) untuk memperkenalkan produk baru di ITSK untuk meminimalisir adanya gap regulasi.Selain itu, setiap lembaga yang memiliki program masing-masing memerlukan sinergi dan kolaborasi yang konkrit antar lembaga negara. Simplifikasi laporan yang perlu disampaikan.;kurang setuju;0.21435868740081787
Responden 4;Asosiasi;Sudah cukup baik;inovasi layanan masih perlu disediakan untuk mendorong perlindungan konsumen dan 'GENCARKAN' yang memiliki pengaruh positif. penetapan panduan oleh departemen ITSK;yang masih menjadi masalah adalah struktur organisasi OJK;memberikan aturan payung untuk mengatur proses bisnis. Selain itu, perlu ditetapkan standar waktu pelaporan bagi industr dalam mencairkan dana pensiun baik untuk aset menengah maupun kecil. ;Sudah cukup baik inovasi layanan masih perlu disediakan untuk mendorong perlindungan konsumen dan 'GENCARKAN' yang memiliki pengaruh positif. penetapan panduan oleh departemen ITSK yang masih menjadi masalah adalah struktur organisasi OJK memberikan aturan payung untuk mengatur proses bisnis. Selain itu, perlu ditetapkan standar waktu pelaporan bagi industr dalam mencairkan dana pensiun baik untuk aset menengah maupun kecil. ;cukup setuju;0.281379759311676
Responden 5;Asosiasi;Masih perlu ditingkatkan.;Sandbox 2.0;Birokrasinya menyulitkan;perlu peraturan spesifik untuk sebuah model bisnis tertentu contohnya agregasi. terkadang setelah sebuah bisnis lulus dari sandbox pOJK terkait perusahaan tersebut belum terbit. koordinasi dan komunikasi dengan OJK sangat memuaskan. ada salah satu departmen di OJK menyampaikan surat dengan kesalahan pada nama dan alamat. OJK sangat mendukung inovasi;Masih perlu ditingkatkan. Sandbox 2.0 Birokrasinya menyulitkan perlu peraturan spesifik untuk sebuah model bisnis tertentu contohnya agregasi. terkadang setelah sebuah bisnis lulus dari sandbox pOJK terkait perusahaan tersebut belum terbit. koordinasi dan komunikasi dengan OJK sangat memuaskan. ada salah satu departmen di OJK menyampaikan surat dengan kesalahan pada nama dan alamat. OJK sangat mendukung inovasi;cukup setuju;0.2953321635723114
Responden 6;Asosiasi;Sudah cukup baik;OJK sudah memberikan roadmap pengembangan dan penguatan PMP yang sangat membantu karena karakteristik modal ventura yang unik di indonesia. pOJK no 25 tahun 2023;Perlu dikembangkan kapasitas dan edukasi literasi terkait kolaborasi OJK dan asosiasi;Diberikan kepastian lamanya waktu untuk mendapatkan approval. struktur perlu di adjust sesuai kebutuhan pasar. perlu ada account officer (RM) untuk grouping kecil bank sehingga mempercepat proses baik pelaporan dan perizinan. sistem RM juga baik untuk industri fintech dalam kaitannya dengan proses di sandbox sehingga proses SOP bisa menjadi lebih agile. komunikasi/flow data yang sudah disampaikan ke OJK belum sinkron antara satu bagian dan bagian lain;Sudah cukup baik OJK sudah memberikan roadmap pengembangan dan penguatan PMP yang sangat membantu karena karakteristik modal ventura yang unik di indonesia. pOJK no 25 tahun 2023 Perlu dikembangkan kapasitas dan edukasi literasi terkait kolaborasi OJK dan asosiasi Diberikan kepastian lamanya waktu untuk mendapatkan approval. struktur perlu di adjust sesuai kebutuhan pasar. perlu ada account officer (RM) untuk grouping kecil bank sehingga mempercepat proses baik pelaporan dan perizinan. sistem RM juga baik untuk industri fintech dalam kaitannya dengan proses di sandbox sehingga proses SOP bisa menjadi lebih agile. komunikasi/flow data yang sudah disampaikan ke OJK belum sinkron antara satu bagian dan bagian lain;cukup setuju;0.22398068010807037
Responden 7;Asosiasi;cukup baik;sangat memberikan ruang inovasi untuk pembiayaan. dialog akhir tahun OJK.;Masih kurang jelas, terkadang industri diminta untuk mengirimkan data lagi ke unit yang berbeda;Memudahkan birokrasi dan peningkatan SDM;cukup baik sangat memberikan ruang inovasi untuk pembiayaan. dialog akhir tahun OJK. Masih kurang jelas, terkadang industri diminta untuk mengirimkan data lagi ke unit yang berbeda Memudahkan birokrasi dan peningkatan SDM;cukup setuju;0.29377982020378113
Responden 8;Asosiasi;cukup baik;Sudah OK;Masih banyak sdm di OJK daerah yang belum mengenal modal ventura;Peningkatan kompetenis sdm;cukup baik Sudah OK Masih banyak sdm di OJK daerah yang belum mengenal modal ventura Peningkatan kompetenis sdm;cukup setuju;0.28834041953086853
Responden 9;Asosiasi;cukup baik;cukup baik;OJK daerah kurang responsif terhadap laporan industri sehingga seringkali laporan perlu disampaikan langsung ke pusat.;Meningkatkan kapasitas sdm khususnya untuk modal ventura;cukup baik cukup baik OJK daerah kurang responsif terhadap laporan industri sehingga seringkali laporan perlu disampaikan langsung ke pusat. Meningkatkan kapasitas sdm khususnya untuk modal ventura;cukup setuju;0.28665435314178467
Responden 10;Akademisi;Layanan yang diberikan sudah sesuai, hal ini dapat terlihat dari tingkat profesionalisme Sumber daya manusia dan juga respon, serta kompetensinya.Fasilitas dan sarana OJK, seperti platform digital, laporan, dan data, telah cukup baik dalam mendukung kebutuhan akademisi, meskipun masih dapat ditingkatkan dengan portal khusus akademisi dan pengelompokan menu yang lebih rapi. Staf OJK menunjukkan kompetensi tinggi, dengan pemahaman cepat terhadap kebutuhan akademisi dan komunikasi yang baik dalam menyampaikan informasi. Kolaborasi ini mencerminkan komitmen OJK untuk terus mendukung perkembangan akademik secara optimal.OJK sering mengadakan webinar untuk mendukung akademisi, tetapi belum merata ke seluruh daerah. Akses data yang lebih mudah diperlukan untuk mendukung riset akademik.Sosialisasi di luar Jawa sering kali terlambat dibandingkan di Jawa, sehingga antusiasme masyarakat di daerah lebih rendah;Diharapkan portal akademik khusus untuk memfasilitasi kolaborasi dan akses data lebih baik;OJK telah menunjukkan kualitas dan kompetensi sumber daya manusia yang baik, terutama melalui kombinasi pegawai organik dan tenaga profesional yang relevan dengan tugas mereka. Fasilitas dan data yang disediakan, seperti laporan penelitian dan webinar, cukup andal dan mendukung kebutuhan akademisi, meskipun ada peluang untuk meningkatkan aksesibilitas di wilayah non-Jawa. Ke depannya, OJK dapat memperkuat kolaborasi dengan akademisi melalui forum riset, pengembangan kurikulum yang sesuai dengan kebutuhan industri, dan peningkatan sosialisasi lintas daerah.;-;Layanan yang diberikan sudah sesuai, hal ini dapat terlihat dari tingkat profesionalisme Sumber daya manusia dan juga respon, serta kompetensinya.Fasilitas dan sarana OJK, seperti platform digital, laporan, dan data, telah cukup baik dalam mendukung kebutuhan akademisi, meskipun masih dapat ditingkatkan dengan portal khusus akademisi dan pengelompokan menu yang lebih rapi. Staf OJK menunjukkan kompetensi tinggi, dengan pemahaman cepat terhadap kebutuhan akademisi dan komunikasi yang baik dalam menyampaikan informasi. Kolaborasi ini mencerminkan komitmen OJK untuk terus mendukung perkembangan akademik secara optimal.OJK sering mengadakan webinar untuk mendukung akademisi, tetapi belum merata ke seluruh daerah. Akses data yang lebih mudah diperlukan untuk mendukung riset akademik.Sosialisasi di luar Jawa sering kali terlambat dibandingkan di Jawa, sehingga antusiasme masyarakat di daerah lebih rendah Diharapkan portal akademik khusus untuk memfasilitasi kolaborasi dan akses data lebih baik OJK telah menunjukkan kualitas dan kompetensi sumber daya manusia yang baik, terutama melalui kombinasi pegawai organik dan tenaga profesional yang relevan dengan tugas mereka. Fasilitas dan data yang disediakan, seperti laporan penelitian dan webinar, cukup andal dan mendukung kebutuhan akademisi, meskipun ada peluang untuk meningkatkan aksesibilitas di wilayah non-Jawa. Ke depannya, OJK dapat memperkuat kolaborasi dengan akademisi melalui forum riset, pengembangan kurikulum yang sesuai dengan kebutuhan industri, dan peningkatan sosialisasi lintas daerah. -;cukup setuju;0.2360333949327469
